frame_index,timestamp_s,camera_center_x_px,path_center_x_px,lateral_error,heading_error,angular_z_rad_s,linear_x_m_s,confidence,instruction,left_boundary_detected,right_boundary_detected
1284,21.421,640.00,613.59,0.048800,-0.090062,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1290,21.521,640.00,612.93,0.029012,-0.071314,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1296,21.622,640.00,615.49,0.032871,-0.071169,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1302,21.722,640.00,616.26,0.031113,-0.068209,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1308,21.822,640.00,621.06,0.037289,-0.066886,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1314,21.922,640.00,627.03,0.037615,-0.057888,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1320,22.022,640.00,625.84,0.034451,-0.056580,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1326,22.122,640.00,624.45,0.019274,-0.043570,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1332,22.222,640.00,624.22,0.028929,-0.053593,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1338,22.322,640.00,624.52,0.025437,-0.049618,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1344,22.422,640.00,620.21,0.015234,-0.046159,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1350,22.523,640.00,624.92,0.017466,-0.041034,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1356,22.623,640.00,621.02,0.021052,-0.050705,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1362,22.723,640.00,619.97,0.025526,-0.056826,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1368,22.823,640.00,616.40,0.036359,-0.073235,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1374,22.923,640.00,612.31,0.038447,-0.081720,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1380,23.023,640.00,609.77,0.047538,-0.094778,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1386,23.123,640.00,602.31,0.061020,-0.119910,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1392,23.223,640.00,601.88,0.039763,-0.099328,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1398,23.323,640.00,597.55,0.049839,-0.116165,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1404,23.423,640.00,600.58,0.044892,-0.106485,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1410,23.524,640.00,599.56,0.044928,-0.108117,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1416,23.624,640.00,603.66,0.023831,-0.080613,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1422,23.724,640.00,604.96,0.013585,-0.068331,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1428,23.824,640.00,612.51,0.002033,-0.044990,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1434,23.924,640.00,618.23,-0.002995,-0.031023,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1440,24.024,640.00,617.89,-0.024309,-0.010238,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1446,24.124,640.00,615.68,-0.022079,-0.015914,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1452,24.224,640.00,614.78,-0.016324,-0.023075,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1458,24.324,640.00,613.55,-0.012169,-0.029161,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1464,24.424,640.00,609.92,-0.017223,-0.029774,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1470,24.524,640.00,602.89,-0.008114,-0.049876,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1476,24.625,640.00,603.50,0.003426,-0.060462,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1482,24.725,640.00,597.35,0.003488,-0.070129,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1488,24.825,640.00,595.15,-0.011004,-0.059074,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1494,24.925,640.00,591.25,0.004809,-0.080983,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1500,25.025,640.00,593.19,0.009077,-0.082215,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1506,25.125,640.00,594.65,0.022296,-0.093152,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
