frame_index,timestamp_s,camera_center_x_px,path_center_x_px,lateral_error,heading_error,angular_z_rad_s,linear_x_m_s,confidence,instruction,left_boundary_detected,right_boundary_detected,control_source,reference_filename,reference_match_index,reference_latitude,reference_longitude,reference_heading_deg,reference_vpr_score,reference_alignment_error,route_turn_error,reference_confidence
546,9.109,640.00,597.41,0.007969,-0.074513,0.000000,0.250000,0.981546,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,-0.027052,0.000000,0.662230
552,9.209,640.00,611.08,0.060764,-0.105951,0.000000,0.250000,0.990079,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,0.001540,0.000000,0.662230
558,9.309,640.00,599.30,0.009229,-0.072821,0.000000,0.250000,0.978144,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,-0.025515,0.000000,0.662230
564,9.409,640.00,601.46,-0.025338,-0.034878,0.000000,0.250000,0.961237,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,-0.038161,0.000000,0.662230
570,9.510,640.00,601.12,-0.042962,-0.017785,0.000000,0.250000,0.977322,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,-0.045396,0.000000,0.662230
576,9.610,640.00,620.22,0.023664,-0.054572,0.000000,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,-0.008302,0.000000,0.662230
582,9.710,640.00,632.43,0.085112,-0.096938,0.000000,0.250000,0.974096,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,0.022956,0.000000,0.662230
588,9.810,640.00,618.20,0.022742,-0.056812,0.000000,0.250000,0.960231,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,-0.009777,0.000000,0.662230
594,9.910,640.00,631.45,0.076047,-0.089408,0.000000,0.250000,0.979947,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,0.018793,0.000000,0.662230
600,10.010,640.00,618.11,0.032718,-0.066917,0.000000,0.250000,0.960412,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0009.jpg,9,50.10225304,14.39250912,310.69,28.0372,-0.008289,0.000000,0.790650
606,10.110,640.00,605.61,-0.005098,-0.048634,0.000000,0.250000,0.968411,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0009.jpg,9,50.10225304,14.39250912,310.69,28.0372,-0.030252,0.000000,0.790650
612,10.210,640.00,619.08,0.045900,-0.078595,0.000000,0.250000,0.987249,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0009.jpg,9,50.10225304,14.39250912,310.69,28.0372,-0.002490,0.000000,0.790650
